Satellite list
SAT05	SAT17	SAT21	SAT13	SAT07	SAT10	SAT15	SAT20	SAT12	SAT09	SAT04	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT05             4          4107          1850       1209600             0             0             0             0
       TASK1         SAT05             4          4586        158615       1209600             0             0             0             0
       TASK2         SAT05             4          4098         62772       1209600             0             0             0             0
       TASK3         SAT17             4          5477         71198       1209600             0             0             0             0
       TASK4         SAT17             4          3952         87980       1209600             0             0             0             0
       TASK5         SAT21             4          6149        208846       1209600             0             0             0             0
       TASK6         SAT21             4          5647        174924       1209600             0             0             0             0
       TASK7         SAT21             4          5050        144191       1209600             0             0             0             0
       TASK8         SAT13             4          7822         26787       1209600             0             0             0             0
       TASK9         SAT13             4          5236         20750       1209600             0             0             0             0
      TASK10         SAT07             4          6280        181277       1209600             0             0             0             0
      TASK11         SAT07             4          4500        179011       1209600             0             0             0             0
      TASK12         SAT10             4          7290         14777       1209600             0             0             0             0
      TASK13         SAT10             4          7961        100747       1209600             0             0             0             0
      TASK14         SAT10             4          7437        220250       1209600             0             0             0             0
      TASK15         SAT15             4          4936        239273       1209600             0             0             0             0
      TASK16         SAT15             4          4179        206294       1209600             0             0             0             0
      TASK17         SAT15             4          7696        140107       1209600             0             0             0             0
      TASK18         SAT20             4          3972        224885       1209600             0             0             0             0
      TASK19         SAT20             4          7043        253745       1209600             0             0             0             0
      TASK20         SAT20             4          6961         53794       1209600             0             0             0             0
      TASK21         SAT12             4          6505        217811       1209600             0             0             0             0
      TASK22         SAT12             4          4069        147986       1209600             0             0             0             0
      TASK23         SAT12             4          4686        143423       1209600             0             0             0             0
      TASK24         SAT09             4          7013         63372       1209600             0             0             0             0
      TASK25         SAT09             4          4996         39901       1209600             0             0             0             0
      TASK26         SAT09             4          7298        222000       1209600             0             0             0             0
      TASK27         SAT09             4          3612        258366       1209600             0             0             0             0
      TASK28         SAT09             4          6935         24990       1209600             0             0             0             0
      TASK29         SAT09             4          4606        246696       1209600             0             0             0             0
      TASK30         SAT04             4          6386        141926       1209600             0             0             0             0
      TASK31         SAT04             4          7864         60736       1209600             0             0             0             0
      TASK32         SAT04             4          5005        213802       1209600             0             0             0             0
      TASK33         SAT04             4          5301        174473       1209600             0             0             0             0
      TASK34         SAT05             8          2322             0       1207278             1            -1         25200         43200
      TASK38         SAT17             8          2356             0       1207244             1            -1         25200         43200
      TASK42         SAT21             8          2314             0       1207286             1            -1         25200         43200
      TASK46         SAT13             8          2337             0       1207263             1            -1         25200         43200
      TASK50         SAT07             8          2231             0       1207369             1            -1         25200         43200
      TASK54         SAT10             8          2007             0       1207593             1            -1         25200         43200
      TASK58         SAT15             8          2164             0       1207436             1            -1         25200         43200
      TASK62         SAT20             8          2283             0       1207317             1            -1         25200         43200
      TASK66         SAT12             8          2189             0       1207411             1            -1         25200         43200
      TASK70         SAT09             8          2285             0        602515             1            -1         25200         43200
      TASK71         SAT09             5          7984             0        596816             1            15         15000            -1
      TASK72         SAT09             5          1029             0        603771             1             3          1029            -1
      TASK73         SAT09             5          4793             0        600007             1             3         72000            -1
      TASK74         SAT09             5           900             0        603900             1            30           900            -1
      TASK75         SAT09             8          2267        604800       1207333             1            -1         25200         43200
      TASK79         SAT04             8          1905             0        602895             1            -1         25200         43200
      TASK80         SAT04             4         22220             0        582580             1             4         72000            -1
      TASK81         SAT04             9           900             0        603900             1            28           900            -1
      TASK82         SAT04             8          2043        604800       1207557             1            -1         25200         43200
      TASK83         SAT04             4         32400        604800       1177200             1             6         72000            -1
      TASK84         SAT04             9           900        604800       1208700             1            -1          1800            -1
