-->Statistics<--
  status   : OPTIMAL
  conflicts: 16652
  branches : 32224
  wall time: 25.402767216 s
Optimal score : 15375.0

TASK0:  
SAT1_ANT1_OCC5      [56400,84600]  
SAT1_ANT1_OCC7      [253800,282000]
SAT1_ANT1_OCC15     [310200,338400]
SAT1_ANT1_OCC16     [535800,564000]
SAT1_ANT1_OCC17     [564000,592200]
SAT1_ANT1_OCC18     [846000,874200]
SAT1_ANT1_OCC19     [874200,902400]
SAT1_ANT1_OCC23     [1147290,1175490]
SAT1_ANT1_OCC24     [930600,958800]
SAT1_ANT1_OCC34     [1043401,1071601]
SAT1_ANT1_OCC37     [1071601,1099801]
SAT1_ANT1_OCC38     [1099801,1128001]
SAT1_ANT2_OCC9      [423000,451200]
SAT1_ANT2_OCC13     [338400,366600]
SAT1_ANT2_OCC15     [366600,394800]
SAT1_ANT2_OCC16     [394800,423000]
SAT1_ANT2_OCC17     [958800,987000]
SAT1_ANT2_OCC21     [451200,479400]
SAT1_ANT2_OCC26     [225600,253800]
SAT1_ANT2_OCC29     [141000,169200]
SAT1_ANT2_OCC30     [676800,705000]
SAT1_ANT2_OCC31     [0,28200]      
SAT1_ANT2_OCC32     [169200,197400]
SAT1_ANT2_OCC35     [112800,141000]
SAT1_ANT2_OCC36     [84600,112800] 
SAT1_ANT2_OCC37     [28200,56400]  
SAT1_ANT2_OCC40     [987000,1015200]
SAT1_ANT3_OCC3      [479400,507600]
SAT1_ANT3_OCC4      [507600,535800]
SAT1_ANT3_OCC10     [197400,225600]
SAT1_ANT3_OCC11     [282000,310200]
SAT1_ANT3_OCC12     [648600,676800]
SAT1_ANT3_OCC13     [592200,620400]
SAT1_ANT3_OCC16     [705000,733200]
SAT1_ANT3_OCC17     [733200,761400]
SAT1_ANT3_OCC18     [761400,789600]
SAT1_ANT3_OCC24     [789600,817800]
SAT1_ANT3_OCC28     [817800,846000]
SAT1_ANT3_OCC30     [902400,930600]
SAT1_ANT3_OCC34     [620400,648600]
SAT1_ANT3_OCC39     [1015201,1043401]

TASK1:  
SAT2_ANT1_OCC5      [282000,310200]
SAT2_ANT1_OCC7      [225600,253800]
SAT2_ANT1_OCC9      [507600,535800]
SAT2_ANT1_OCC11     [620400,648600]
SAT2_ANT1_OCC20     [451200,479400]
SAT2_ANT1_OCC21     [338400,366600]
SAT2_ANT1_OCC24     [705000,733200]
SAT2_ANT1_OCC27     [733200,761400]
SAT2_ANT1_OCC29     [169200,197400]
SAT2_ANT1_OCC30     [84600,112800] 
SAT2_ANT1_OCC32     [366600,394800]
SAT2_ANT1_OCC34     [789600,817800]
SAT2_ANT1_OCC38     [817800,846000]
SAT2_ANT1_OCC40     [0,28200]      
SAT2_ANT2_OCC3      [197400,225600]
SAT2_ANT2_OCC5      [479400,507600]
SAT2_ANT2_OCC6      [761400,789600]
SAT2_ANT2_OCC12     [56400,84600]  
SAT2_ANT2_OCC15     [535800,564000]
SAT2_ANT2_OCC21     [902400,930600]
SAT2_ANT2_OCC22     [648600,676800]
SAT2_ANT2_OCC36     [592200,620400]
