Satellite list
SAT17	SAT21	SAT06	SAT08	SAT15	SAT18	SAT04	SAT20	SAT05	SAT22	SAT01	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT17             4          5953        110125       1209600             0             0             0             0
       TASK1         SAT17             4          4100        212537       1209600             0             0             0             0
       TASK2         SAT17             4          6345        222983       1209600             0             0             0             0
       TASK3         SAT21             4          7751        189234       1209600             0             0             0             0
       TASK4         SAT21             4          4228        242583       1209600             0             0             0             0
       TASK5         SAT21             4          7941        174002       1209600             0             0             0             0
       TASK6         SAT06             4          5282        114455       1209600             0             0             0             0
       TASK7         SAT06             4          6053          7897       1209600             0             0             0             0
       TASK8         SAT06             4          7015        141345       1209600             0             0             0             0
       TASK9         SAT08             4          7740        169512       1209600             0             0             0             0
      TASK10         SAT08             4          6135         13768       1209600             0             0             0             0
      TASK11         SAT08             4          5517        216360       1209600             0             0             0             0
      TASK12         SAT15             4          3788         60647       1209600             0             0             0             0
      TASK13         SAT15             4          6403         73706       1209600             0             0             0             0
      TASK14         SAT15             4          3926        157579       1209600             0             0             0             0
      TASK15         SAT18             4          3630        130769       1209600             0             0             0             0
      TASK16         SAT18             4          4769         22246       1209600             0             0             0             0
      TASK17         SAT18             4          3952        126726       1209600             0             0             0             0
      TASK18         SAT04             4          7478         76026       1209600             0             0             0             0
      TASK19         SAT04             4          4946        167334       1209600             0             0             0             0
      TASK20         SAT20             4          6939        256810       1209600             0             0             0             0
      TASK21         SAT20             4          7719         31768       1209600             0             0             0             0
      TASK22         SAT20             4          5331         33539       1209600             0             0             0             0
      TASK23         SAT05             4          7391        134766       1209600             0             0             0             0
      TASK24         SAT05             4          4570         19156       1209600             0             0             0             0
      TASK25         SAT05             4          3670         93711       1209600             0             0             0             0
      TASK26         SAT22             4          6808        121264       1209600             0             0             0             0
      TASK27         SAT22             4          6707         76291       1209600             0             0             0             0
      TASK28         SAT22             4          4737        154537       1209600             0             0             0             0
      TASK29         SAT22             4          5170         70759       1209600             0             0             0             0
      TASK30         SAT22             4          4749        237482       1209600             0             0             0             0
      TASK31         SAT22             4          4376        176864       1209600             0             0             0             0
      TASK32         SAT01             4          5131         56784       1209600             0             0             0             0
      TASK33         SAT01             4          5182        258280       1209600             0             0             0             0
      TASK34         SAT01             4          7816         83158       1209600             0             0             0             0
      TASK35         SAT01             4          5025         79319       1209600             0             0             0             0
      TASK36         SAT01             4          6409        195631       1209600             0             0             0             0
      TASK37         SAT01             4          4568         35054       1209600             0             0             0             0
      TASK38         SAT17             8          2136             0       1207464             1            -1         25200         43200
      TASK42         SAT21             8          1819             0       1207781             1            -1         25200         43200
      TASK46         SAT06             8          2075             0       1207525             1            -1         25200         43200
      TASK50         SAT08             8          1936             0       1207664             1            -1         25200         43200
      TASK54         SAT15             8          2189             0       1207411             1            -1         25200         43200
      TASK58         SAT18             8          1843             0       1207757             1            -1         25200         43200
      TASK62         SAT04             8          2213             0       1207387             1            -1         25200         43200
      TASK66         SAT20             8          2050             0       1207550             1            -1         25200         43200
      TASK70         SAT05             8          2157             0       1207443             1            -1         25200         43200
      TASK74         SAT22             8          2231             0        602569             1            -1         25200         43200
      TASK75         SAT22             5          7355             0        597445             1            15         15000            -1
      TASK76         SAT22             5          1487             0        603313             1             3          1487            -1
      TASK77         SAT22             5          5826             0        598974             1             3         72000            -1
      TASK78         SAT22             5           900             0        603900             1            30           900            -1
      TASK79         SAT22             8          1978        604800       1207622             1            -1         25200         43200
      TASK83         SAT01             8          2118             0        602682             1            -1         25200         43200
      TASK84         SAT01             4         27374             0        577426             1             4         72000            -1
      TASK85         SAT01             9           900             0        603900             1            28           900            -1
      TASK86         SAT01             8          1841        604800       1207759             1            -1         25200         43200
      TASK87         SAT01             4         32400        604800       1177200             1             6         72000            -1
      TASK88         SAT01             9           900        604800       1208700             1            -1          1800            -1
