Satellite list
SAT05	SAT10	SAT14	SAT20	SAT15	SAT09	SAT11	SAT18	SAT08	SAT22	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT05             4          6467        113547       1209600             0             0             0             0
       TASK1         SAT05             4          6411         92561       1209600             0             0             0             0
       TASK2         SAT05             4          6446        119695       1209600             0             0             0             0
       TASK3         SAT05             4          6675         84515       1209600             0             0             0             0
       TASK4         SAT10             4          7406        154151       1209600             0             0             0             0
       TASK5         SAT10             4          3652         53306       1209600             0             0             0             0
       TASK6         SAT10             4          4596         88762       1209600             0             0             0             0
       TASK7         SAT14             4          6707         74326       1209600             0             0             0             0
       TASK8         SAT14             4          6906        108446       1209600             0             0             0             0
       TASK9         SAT14             4          6774        226377       1209600             0             0             0             0
      TASK10         SAT20             4          5269         27637       1209600             0             0             0             0
      TASK11         SAT20             4          4075         80634       1209600             0             0             0             0
      TASK12         SAT20             4          5232         53422       1209600             0             0             0             0
      TASK13         SAT20             4          5708        190164       1209600             0             0             0             0
      TASK14         SAT15             4          5304        105501       1209600             0             0             0             0
      TASK15         SAT15             4          7822        256294       1209600             0             0             0             0
      TASK16         SAT15             4          7132        243252       1209600             0             0             0             0
      TASK17         SAT09             4          6403        128578       1209600             0             0             0             0
      TASK18         SAT09             4          6380        235790       1209600             0             0             0             0
      TASK19         SAT09             4          6690         79453       1209600             0             0             0             0
      TASK20         SAT11             4          6662        150372       1209600             0             0             0             0
      TASK21         SAT11             4          5809         95720       1209600             0             0             0             0
      TASK22         SAT11             4          5338         49667       1209600             0             0             0             0
      TASK23         SAT18             4          6346         79540       1209600             0             0             0             0
      TASK24         SAT18             4          5597        180293       1209600             0             0             0             0
      TASK25         SAT18             4          6716        243909       1209600             0             0             0             0
      TASK26         SAT08             4          4649        192259       1209600             0             0             0             0
      TASK27         SAT08             4          7476        104746       1209600             0             0             0             0
      TASK28         SAT08             4          5671         77507       1209600             0             0             0             0
      TASK29         SAT22             4          6015         52802       1209600             0             0             0             0
      TASK30         SAT22             4          5845        103284       1209600             0             0             0             0
      TASK31         SAT22             4          5858        179809       1209600             0             0             0             0
      TASK32         SAT05             8          2232             0       1207368             1            -1         25200         43200
      TASK36         SAT10             8          2149             0       1207451             1            -1         25200         43200
      TASK40         SAT14             8          2213             0       1207387             1            -1         25200         43200
      TASK44         SAT20             8          2119             0       1207481             1            -1         25200         43200
      TASK48         SAT15             8          2189             0       1207411             1            -1         25200         43200
      TASK52         SAT09             8          2023             0       1207577             1            -1         25200         43200
      TASK56         SAT11             8          1950             0       1207650             1            -1         25200         43200
      TASK60         SAT18             8          1976             0       1207624             1            -1         25200         43200
      TASK64         SAT08             8          2199             0       1207401             1            -1         25200         43200
      TASK68         SAT22             8          2074             0       1207526             1            -1         25200         43200
