Satellite list
SAT18	SAT04	SAT08	SAT10	SAT02	SAT07	SAT03	SAT05	SAT22	SAT01	SAT15	SAT12	SAT14	SAT17	SAT11	SAT15	SAT09	SAT20	SAT19	SAT16	SAT21	SAT06	SAT23	SAT13	SAT42	SAT29	SAT25	SAT40	SAT34	SAT27	SAT38	SAT31	SAT24	SAT36	SAT26	SAT45	SAT44	SAT32	SAT28	SAT41	SAT47	SAT43	SAT30	SAT37	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT18             4          5654        215959       1209600             0             0             0             0
       TASK1         SAT04             4          7252         26038       1209600             0             0             0             0
       TASK2         SAT08             4          5874        145011       1209600             0             0             0             0
       TASK3         SAT10             4          4438         33194       1209600             0             0             0             0
       TASK4         SAT02             4          4367         16832       1209600             0             0             0             0
       TASK5         SAT03             4          4312        147878       1209600             0             0             0             0
       TASK6         SAT22             4          5275        241416       1209600             0             0             0             0
       TASK7         SAT01             4          5885         94644       1209600             0             0             0             0
       TASK8         SAT15             4          4591        145728       1209600             0             0             0             0
       TASK9         SAT12             4          7107        148653       1209600             0             0             0             0
      TASK10         SAT14             4          3688        108691       1209600             0             0             0             0
      TASK11         SAT17             4          4705        244772       1209600             0             0             0             0
      TASK12         SAT11             4          3784        221375       1209600             0             0             0             0
      TASK13         SAT09             4          7132        103031       1209600             0             0             0             0
      TASK14         SAT19             4          5370        117526       1209600             0             0             0             0
      TASK15         SAT06             4          7770        258449       1209600             0             0             0             0
      TASK16         SAT23             4          4099        184541       1209600             0             0             0             0
      TASK17         SAT42             4          3633        175326       1209600             0             0             0             0
      TASK18         SAT40             4          6489         13108       1209600             0             0             0             0
      TASK19         SAT34             4          6034        133724       1209600             0             0             0             0
      TASK20         SAT27             4          6184        229549       1209600             0             0             0             0
      TASK21         SAT38             4          6332        180866       1209600             0             0             0             0
      TASK22         SAT24             4          4712        209989       1209600             0             0             0             0
      TASK23         SAT26             4          7718         22677       1209600             0             0             0             0
      TASK24         SAT45             4          5033        104346       1209600             0             0             0             0
      TASK25         SAT44             4          4948        218761       1209600             0             0             0             0
      TASK26         SAT44             4          6755        132218       1209600             0             0             0             0
      TASK27         SAT32             4          7651        122928       1209600             0             0             0             0
      TASK28         SAT32             4          7850         49448       1209600             0             0             0             0
      TASK29         SAT28             4          3637        154765       1209600             0             0             0             0
      TASK30         SAT28             4          7236        196776       1209600             0             0             0             0
      TASK31         SAT41             4          4298        109396       1209600             0             0             0             0
      TASK32         SAT41             4          5748          6068       1209600             0             0             0             0
      TASK33         SAT47             4          6693        123523       1209600             0             0             0             0
      TASK34         SAT47             4          4341         33333       1209600             0             0             0             0
      TASK35         SAT43             4          5923        200106       1209600             0             0             0             0
      TASK36         SAT43             4          7021         77818       1209600             0             0             0             0
      TASK37         SAT30             4          6005        208344       1209600             0             0             0             0
      TASK38         SAT30             4          5395        101887       1209600             0             0             0             0
      TASK39         SAT37             4          7756        174936       1209600             0             0             0             0
      TASK40         SAT37             4          5908        235196       1209600             0             0             0             0
      TASK41         SAT18             8          1952             0       1207648             1            -1         25200         43200
      TASK45         SAT04             8          2080             0       1207520             1            -1         25200         43200
      TASK49         SAT08             8          2064             0       1207536             1            -1         25200         43200
      TASK53         SAT10             8          2301             0       1207299             1            -1         25200         43200
      TASK57         SAT02             8          1997             0       1207603             1            -1         25200         43200
      TASK61         SAT07             8          1883             0       1207717             1            -1         25200         43200
      TASK65         SAT03             8          2058             0       1207542             1            -1         25200         43200
      TASK69         SAT05             8          1982             0       1207618             1            -1         25200         43200
      TASK73         SAT22             8          2086             0       1207514             1            -1         25200         43200
      TASK77         SAT01             8          2010             0       1207590             1            -1         25200         43200
      TASK81         SAT15             8          2025             0       1207575             1            -1         25200         43200
      TASK85         SAT12             8          2326             0       1207274             1            -1         25200         43200
      TASK89         SAT14             8          2285             0       1207315             1            -1         25200         43200
      TASK93         SAT17             8          2102             0       1207498             1            -1         25200         43200
      TASK97         SAT11             8          2283             0       1207317             1            -1         25200         43200
     TASK101         SAT09             8          2234             0       1207366             1            -1         25200         43200
     TASK105         SAT20             8          2096             0       1207504             1            -1         25200         43200
     TASK109         SAT19             8          1815             0       1207785             1            -1         25200         43200
     TASK113         SAT16             8          2313             0       1207287             1            -1         25200         43200
     TASK117         SAT21             8          2335             0       1207265             1            -1         25200         43200
     TASK121         SAT06             8          1812             0       1207788             1            -1         25200         43200
     TASK125         SAT23             8          2030             0       1207570             1            -1         25200         43200
     TASK129         SAT13             8          1993             0       1207607             1            -1         25200         43200
     TASK133         SAT42             8          2149             0       1207451             1            -1         25200         43200
     TASK140         SAT29             8          2098             0       1207502             1            -1         25200         43200
     TASK147         SAT25             8          2312             0       1207288             1            -1         25200         43200
     TASK154         SAT40             8          1850             0       1207750             1            -1         25200         43200
     TASK161         SAT34             8          2110             0       1207490             1            -1         25200         43200
     TASK168         SAT27             8          2025             0       1207575             1            -1         25200         43200
     TASK175         SAT38             8          2228             0       1207372             1            -1         25200         43200
     TASK182         SAT31             8          2212             0       1207388             1            -1         25200         43200
     TASK189         SAT24             8          1958             0       1207642             1            -1         25200         43200
     TASK196         SAT36             8          2177             0       1207423             1            -1         25200         43200
     TASK203         SAT26             8          2237             0       1207363             1            -1         25200         43200
     TASK210         SAT45             8          2254             0       1207346             1            -1         25200         43200
     TASK217         SAT44             8          2208             0        602592             1            -1         25200         43200
     TASK218         SAT44             5          8281             0        596519             1            15         15000            -1
     TASK219         SAT44             5          1427             0        603373             1             3          1427            -1
     TASK220         SAT44             5          5629             0        599171             1             3         72000            -1
     TASK221         SAT44             5           900             0        603900             1            30           900            -1
     TASK222         SAT44             8          2057        604800       1207543             1            -1         25200         43200
     TASK229         SAT32             8          1960             0        602840             1            -1         25200         43200
     TASK230         SAT32             5          7664             0        597136             1            15         15000            -1
     TASK231         SAT32             5          1069             0        603731             1             3          1069            -1
     TASK232         SAT32             5          5090             0        599710             1             3         72000            -1
     TASK233         SAT32             5           900             0        603900             1            30           900            -1
     TASK234         SAT32             8          1974        604800       1207626             1            -1         25200         43200
     TASK241         SAT28             8          2229             0        602571             1            -1         25200         43200
     TASK242         SAT28             5          7382             0        597418             1            15         15000            -1
     TASK243         SAT28             5          1253             0        603547             1             3          1253            -1
     TASK244         SAT28             5          5000             0        599800             1             3         72000            -1
     TASK245         SAT28             5           900             0        603900             1            30           900            -1
     TASK246         SAT28             8          2139        604800       1207461             1            -1         25200         43200
     TASK253         SAT41             8          2273             0        602527             1            -1         25200         43200
     TASK254         SAT41             5          7333             0        597467             1            15         15000            -1
     TASK255         SAT41             5          1250             0        603550             1             3          1250            -1
     TASK256         SAT41             5          5930             0        598870             1             3         72000            -1
     TASK257         SAT41             5           900             0        603900             1            30           900            -1
     TASK258         SAT41             8          1960        604800       1207640             1            -1         25200         43200
     TASK265         SAT47             8          2000             0        602800             1            -1         25200         43200
     TASK266         SAT47             4         26231             0        578569             1             4         72000            -1
     TASK267         SAT47             9           900             0        603900             1            28           900            -1
     TASK268         SAT47             8          2231        604800       1207369             1            -1         25200         43200
     TASK269         SAT47             4         32400        604800       1177200             1             6         72000            -1
     TASK270         SAT47             9           900        604800       1208700             1            -1          1800            -1
     TASK271         SAT43             8          2250             0        602550             1            -1         25200         43200
     TASK272         SAT43             4         22307             0        582493             1             4         72000            -1
     TASK273         SAT43             9           900             0        603900             1            28           900            -1
     TASK274         SAT43             8          2145        604800       1207455             1            -1         25200         43200
     TASK275         SAT43             4         32400        604800       1177200             1             6         72000            -1
     TASK276         SAT43             9           900        604800       1208700             1            -1          1800            -1
     TASK277         SAT30             8          2034             0        602766             1            -1         25200         43200
     TASK278         SAT30             4         28312             0        576488             1             4         72000            -1
     TASK279         SAT30             9           900             0        603900             1            28           900            -1
     TASK280         SAT30             8          2275        604800       1207325             1            -1         25200         43200
     TASK281         SAT30             4         32400        604800       1177200             1             6         72000            -1
     TASK282         SAT30             9           900        604800       1208700             1            -1          1800            -1
     TASK283         SAT37             8          2395             0        602405             1            -1         25200         43200
     TASK284         SAT37             4         28440             0        576360             1             4         72000            -1
     TASK285         SAT37             9           900             0        603900             1            28           900            -1
     TASK286         SAT37             8          1840        604800       1207760             1            -1         25200         43200
     TASK287         SAT37             4         32400        604800       1177200             1             6         72000            -1
     TASK288         SAT37             9           900        604800       1208700             1            -1          1800            -1
