Satellite list
SAT02	SAT20	SAT22	SAT05	SAT19	SAT01	SAT11	SAT15	SAT04	SAT07	SAT08	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT02             4          7188        240202       1209600             0             0             0             0
       TASK1         SAT02             4          4966         97011       1209600             0             0             0             0
       TASK2         SAT20             4          6860        114932       1209600             0             0             0             0
       TASK3         SAT20             4          6264        190935       1209600             0             0             0             0
       TASK4         SAT20             4          6657        255773       1209600             0             0             0             0
       TASK5         SAT22             4          4448        188756       1209600             0             0             0             0
       TASK6         SAT22             4          4239        208511       1209600             0             0             0             0
       TASK7         SAT05             4          5206        231435       1209600             0             0             0             0
       TASK8         SAT05             4          3605        175621       1209600             0             0             0             0
       TASK9         SAT05             4          6936        201979       1209600             0             0             0             0
      TASK10         SAT19             4          4926         21135       1209600             0             0             0             0
      TASK11         SAT19             4          4207        171905       1209600             0             0             0             0
      TASK12         SAT19             4          6502        140840       1209600             0             0             0             0
      TASK13         SAT01             4          5415        217042       1209600             0             0             0             0
      TASK14         SAT01             4          5778         56942       1209600             0             0             0             0
      TASK15         SAT11             4          6901         53409       1209600             0             0             0             0
      TASK16         SAT11             4          5326         85773       1209600             0             0             0             0
      TASK17         SAT15             4          4182        125118       1209600             0             0             0             0
      TASK18         SAT15             4          6778        250618       1209600             0             0             0             0
      TASK19         SAT04             4          5936        128334       1209600             0             0             0             0
      TASK20         SAT04             4          7916        209177       1209600             0             0             0             0
      TASK21         SAT07             4          7706         68109       1209600             0             0             0             0
      TASK22         SAT07             4          4392        241764       1209600             0             0             0             0
      TASK23         SAT07             4          7031         55060       1209600             0             0             0             0
      TASK24         SAT07             4          6407         17228       1209600             0             0             0             0
      TASK25         SAT07             4          7301        105629       1209600             0             0             0             0
      TASK26         SAT07             4          5686         39517       1209600             0             0             0             0
      TASK27         SAT08             4          5822        141328       1209600             0             0             0             0
      TASK28         SAT08             4          4752         50024       1209600             0             0             0             0
      TASK29         SAT08             4          6149         16818       1209600             0             0             0             0
      TASK30         SAT08             4          4437          1058       1209600             0             0             0             0
      TASK31         SAT08             4          5076         27879       1209600             0             0             0             0
      TASK32         SAT08             4          7322        118945       1209600             0             0             0             0
      TASK33         SAT02             8          2187             0       1207413             1            -1         25200         43200
      TASK37         SAT20             8          2363             0       1207237             1            -1         25200         43200
      TASK41         SAT22             8          1835             0       1207765             1            -1         25200         43200
      TASK45         SAT05             8          2185             0       1207415             1            -1         25200         43200
      TASK49         SAT19             8          2069             0       1207531             1            -1         25200         43200
      TASK53         SAT01             8          2121             0       1207479             1            -1         25200         43200
      TASK57         SAT11             8          1841             0       1207759             1            -1         25200         43200
      TASK61         SAT15             8          1817             0       1207783             1            -1         25200         43200
      TASK65         SAT04             8          2342             0       1207258             1            -1         25200         43200
      TASK69         SAT07             8          2045             0        602755             1            -1         25200         43200
      TASK70         SAT07             5          8138             0        596662             1            15         15000            -1
      TASK71         SAT07             5          1425             0        603375             1             3          1425            -1
      TASK72         SAT07             5          5127             0        599673             1             3         72000            -1
      TASK73         SAT07             5           900             0        603900             1            30           900            -1
      TASK74         SAT07             8          2137        604800       1207463             1            -1         25200         43200
      TASK78         SAT08             8          2084             0        602716             1            -1         25200         43200
      TASK79         SAT08             4         22473             0        582327             1             4         72000            -1
      TASK80         SAT08             9           900             0        603900             1            28           900            -1
      TASK81         SAT08             8          1866        604800       1207734             1            -1         25200         43200
      TASK82         SAT08             4         32400        604800       1177200             1             6         72000            -1
      TASK83         SAT08             9           900        604800       1208700             1            -1          1800            -1
