Satellite list
SAT15	SAT12	SAT21	SAT17	SAT07	SAT09	SAT22	SAT11	SAT18	SAT03	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT15             8          1851             0       1207749             1            -1         25200         43200
       TASK4         SAT12             8          1980             0       1207620             1            -1         25200         43200
       TASK8         SAT21             8          1810             0       1207790             1            -1         25200         43200
      TASK12         SAT17             8          2227             0       1207373             1            -1         25200         43200
      TASK16         SAT07             8          1983             0       1207617             1            -1         25200         43200
      TASK20         SAT09             8          2185             0       1207415             1            -1         25200         43200
      TASK24         SAT22             8          2328             0       1207272             1            -1         25200         43200
      TASK28         SAT11             8          2275             0       1207325             1            -1         25200         43200
      TASK32         SAT18             8          1934             0       1207666             1            -1         25200         43200
      TASK36         SAT03             8          1999             0       1207601             1            -1         25200         43200
