Satellite list
SAT03	SAT11	SAT22	SAT09	SAT10	SAT14	SAT13	SAT15	SAT23	SAT12	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT03             4          3851        139375       1209600             0             0             0             0
       TASK1         SAT03             4          7065         89533       1209600             0             0             0             0
       TASK2         SAT03             4          5591        193644       1209600             0             0             0             0
       TASK3         SAT11             4          4490         77063       1209600             0             0             0             0
       TASK4         SAT11             4          6623        134350       1209600             0             0             0             0
       TASK5         SAT11             4          5977        232632       1209600             0             0             0             0
       TASK6         SAT22             4          6908        219133       1209600             0             0             0             0
       TASK7         SAT22             4          3604         19089       1209600             0             0             0             0
       TASK8         SAT22             4          7303         25608       1209600             0             0             0             0
       TASK9         SAT09             4          4798         83705       1209600             0             0             0             0
      TASK10         SAT09             4          7850        112714       1209600             0             0             0             0
      TASK11         SAT09             4          7202        195445       1209600             0             0             0             0
      TASK12         SAT10             4          5487        124340       1209600             0             0             0             0
      TASK13         SAT10             4          6043        168866       1209600             0             0             0             0
      TASK14         SAT10             4          5206         23244       1209600             0             0             0             0
      TASK15         SAT10             4          3733        222506       1209600             0             0             0             0
      TASK16         SAT14             4          5852         25553       1209600             0             0             0             0
      TASK17         SAT14             4          4850        187617       1209600             0             0             0             0
      TASK18         SAT14             4          5334        193705       1209600             0             0             0             0
      TASK19         SAT13             4          7393        215265       1209600             0             0             0             0
      TASK20         SAT13             4          6114         39846       1209600             0             0             0             0
      TASK21         SAT13             4          5182         74591       1209600             0             0             0             0
      TASK22         SAT15             4          7462        111681       1209600             0             0             0             0
      TASK23         SAT15             4          7036          6327       1209600             0             0             0             0
      TASK24         SAT15             4          6773        220531       1209600             0             0             0             0
      TASK25         SAT15             4          4130         73837       1209600             0             0             0             0
      TASK26         SAT23             4          4544        227250       1209600             0             0             0             0
      TASK27         SAT23             4          6482         57559       1209600             0             0             0             0
      TASK28         SAT23             4          3651        140497       1209600             0             0             0             0
      TASK29         SAT12             4          4693        227325       1209600             0             0             0             0
      TASK30         SAT12             4          5362        156528       1209600             0             0             0             0
      TASK31         SAT12             4          4392        244890       1209600             0             0             0             0
      TASK32         SAT03             8          2157             0       1207443             1            -1         25200         43200
      TASK36         SAT11             8          2376             0       1207224             1            -1         25200         43200
      TASK40         SAT22             8          1917             0       1207683             1            -1         25200         43200
      TASK44         SAT09             8          2148             0       1207452             1            -1         25200         43200
      TASK48         SAT10             8          1811             0       1207789             1            -1         25200         43200
      TASK52         SAT14             8          2102             0       1207498             1            -1         25200         43200
      TASK56         SAT13             8          1950             0       1207650             1            -1         25200         43200
      TASK60         SAT15             8          2145             0       1207455             1            -1         25200         43200
      TASK64         SAT23             8          1811             0       1207789             1            -1         25200         43200
      TASK68         SAT12             8          2290             0       1207310             1            -1         25200         43200
