Satellite list
SAT14	SAT15	SAT01	SAT19	SAT20	SAT21	SAT18	SAT07	SAT13	SAT15	SAT22	SAT06	SAT03	SAT10	SAT04	SAT16	SAT12	SAT05	SAT23	SAT08	SAT02	SAT17	SAT09	SAT11	SAT24	SAT33	SAT41	SAT37	SAT34	SAT25	SAT30	SAT26	SAT32	SAT35	SAT31	SAT46	SAT45	SAT47	SAT29	SAT27	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT14             4          3870        183737       1209600             0             0             0             0
       TASK1         SAT14             4          7164        137616       1209600             0             0             0             0
       TASK2         SAT14             4          6860         80770       1209600             0             0             0             0
       TASK3         SAT14             4          7393        100572       1209600             0             0             0             0
       TASK4         SAT15             4          3863        112845       1209600             0             0             0             0
       TASK5         SAT15             4          4867        177774       1209600             0             0             0             0
       TASK6         SAT15             4          5712        228707       1209600             0             0             0             0
       TASK7         SAT15             4          3732         88477       1209600             0             0             0             0
       TASK8         SAT01             4          5611          1898       1209600             0             0             0             0
       TASK9         SAT01             4          3644        161825       1209600             0             0             0             0
      TASK10         SAT01             4          6194         78370       1209600             0             0             0             0
      TASK11         SAT01             4          5551        191943       1209600             0             0             0             0
      TASK12         SAT19             4          7545         19680       1209600             0             0             0             0
      TASK13         SAT19             4          7523        225843       1209600             0             0             0             0
      TASK14         SAT19             4          6751        230239       1209600             0             0             0             0
      TASK15         SAT19             4          4619         40465       1209600             0             0             0             0
      TASK16         SAT20             4          4133         98648       1209600             0             0             0             0
      TASK17         SAT20             4          6323        227716       1209600             0             0             0             0
      TASK18         SAT20             4          4190        220830       1209600             0             0             0             0
      TASK19         SAT20             4          4783         77465       1209600             0             0             0             0
      TASK20         SAT21             4          4598        183965       1209600             0             0             0             0
      TASK21         SAT21             4          4613        110753       1209600             0             0             0             0
      TASK22         SAT21             4          6289        242925       1209600             0             0             0             0
      TASK23         SAT21             4          4111        217981       1209600             0             0             0             0
      TASK24         SAT18             4          7073         27578       1209600             0             0             0             0
      TASK25         SAT18             4          6367        210862       1209600             0             0             0             0
      TASK26         SAT18             4          4068        100594       1209600             0             0             0             0
      TASK27         SAT18             4          5068         97829       1209600             0             0             0             0
      TASK28         SAT07             4          4348        253340       1209600             0             0             0             0
      TASK29         SAT07             4          4975        132818       1209600             0             0             0             0
      TASK30         SAT07             4          7637         45761       1209600             0             0             0             0
      TASK31         SAT13             4          6655        169063       1209600             0             0             0             0
      TASK32         SAT13             4          5176        155563       1209600             0             0             0             0
      TASK33         SAT13             4          5229        209921       1209600             0             0             0             0
      TASK34         SAT13             4          7467        117535       1209600             0             0             0             0
      TASK35         SAT22             4          7374        195405       1209600             0             0             0             0
      TASK36         SAT22             4          6183        141627       1209600             0             0             0             0
      TASK37         SAT22             4          7232        143189       1209600             0             0             0             0
      TASK38         SAT22             4          6763        157979       1209600             0             0             0             0
      TASK39         SAT06             4          7984        167993       1209600             0             0             0             0
      TASK40         SAT06             4          6022        186549       1209600             0             0             0             0
      TASK41         SAT06             4          6502        143230       1209600             0             0             0             0
      TASK42         SAT06             4          5553        204682       1209600             0             0             0             0
      TASK43         SAT03             4          7957        138933       1209600             0             0             0             0
      TASK44         SAT03             4          5839        252179       1209600             0             0             0             0
      TASK45         SAT03             4          3773        119466       1209600             0             0             0             0
      TASK46         SAT03             4          6883        155401       1209600             0             0             0             0
      TASK47         SAT10             4          6742        127053       1209600             0             0             0             0
      TASK48         SAT10             4          4345        150315       1209600             0             0             0             0
      TASK49         SAT10             4          7940        173803       1209600             0             0             0             0
      TASK50         SAT10             4          7877         38635       1209600             0             0             0             0
      TASK51         SAT04             4          3957        211162       1209600             0             0             0             0
      TASK52         SAT04             4          6417        143631       1209600             0             0             0             0
      TASK53         SAT04             4          7180         27238       1209600             0             0             0             0
      TASK54         SAT04             4          7446        199321       1209600             0             0             0             0
      TASK55         SAT16             4          6681        232242       1209600             0             0             0             0
      TASK56         SAT16             4          4939        206458       1209600             0             0             0             0
      TASK57         SAT16             4          4246        245636       1209600             0             0             0             0
      TASK58         SAT12             4          3917        127421       1209600             0             0             0             0
      TASK59         SAT12             4          3791         50866       1209600             0             0             0             0
      TASK60         SAT12             4          5412          5585       1209600             0             0             0             0
      TASK61         SAT12             4          7862        234804       1209600             0             0             0             0
      TASK62         SAT05             4          6435         65994       1209600             0             0             0             0
      TASK63         SAT05             4          7341         25405       1209600             0             0             0             0
      TASK64         SAT05             4          6108        244882       1209600             0             0             0             0
      TASK65         SAT05             4          4393         56364       1209600             0             0             0             0
      TASK66         SAT23             4          6928         36312       1209600             0             0             0             0
      TASK67         SAT23             4          7021        126362       1209600             0             0             0             0
      TASK68         SAT23             4          6037        162510       1209600             0             0             0             0
      TASK69         SAT08             4          5250        109078       1209600             0             0             0             0
      TASK70         SAT08             4          5217         98503       1209600             0             0             0             0
      TASK71         SAT08             4          7151         49346       1209600             0             0             0             0
      TASK72         SAT08             4          7703        212063       1209600             0             0             0             0
      TASK73         SAT02             4          7811        160414       1209600             0             0             0             0
      TASK74         SAT02             4          4035        105886       1209600             0             0             0             0
      TASK75         SAT02             4          5320         99188       1209600             0             0             0             0
      TASK76         SAT17             4          7652        236791       1209600             0             0             0             0
      TASK77         SAT17             4          7905        247706       1209600             0             0             0             0
      TASK78         SAT17             4          7807        226849       1209600             0             0             0             0
      TASK79         SAT17             4          4747        122851       1209600             0             0             0             0
      TASK80         SAT09             4          5474         13499       1209600             0             0             0             0
      TASK81         SAT09             4          6407        198556       1209600             0             0             0             0
      TASK82         SAT09             4          7763         21513       1209600             0             0             0             0
      TASK83         SAT11             4          5971         17051       1209600             0             0             0             0
      TASK84         SAT11             4          6566         56334       1209600             0             0             0             0
      TASK85         SAT11             4          6183        196711       1209600             0             0             0             0
      TASK86         SAT11             4          5931         70648       1209600             0             0             0             0
      TASK87         SAT24             4          6726        151562       1209600             0             0             0             0
      TASK88         SAT24             4          5932         25851       1209600             0             0             0             0
      TASK89         SAT24             4          6006        168782       1209600             0             0             0             0
      TASK90         SAT24             4          3842         24305       1209600             0             0             0             0
      TASK91         SAT33             4          6894        219811       1209600             0             0             0             0
      TASK92         SAT33             4          4969         68228       1209600             0             0             0             0
      TASK93         SAT33             4          7487        187536       1209600             0             0             0             0
      TASK94         SAT33             4          6566        175048       1209600             0             0             0             0
      TASK95         SAT41             4          6713        211945       1209600             0             0             0             0
      TASK96         SAT41             4          4603        167649       1209600             0             0             0             0
      TASK97         SAT41             4          5377        201005       1209600             0             0             0             0
      TASK98         SAT41             4          5830        219222       1209600             0             0             0             0
      TASK99         SAT37             4          7243        230001       1209600             0             0             0             0
     TASK100         SAT37             4          7468        243103       1209600             0             0             0             0
     TASK101         SAT37             4          6025        168086       1209600             0             0             0             0
     TASK102         SAT37             4          5815         27171       1209600             0             0             0             0
     TASK103         SAT34             4          6803         48783       1209600             0             0             0             0
     TASK104         SAT34             4          4625         28188       1209600             0             0             0             0
     TASK105         SAT34             4          5279        224812       1209600             0             0             0             0
     TASK106         SAT34             4          6393          5984       1209600             0             0             0             0
     TASK107         SAT25             4          5432        243292       1209600             0             0             0             0
     TASK108         SAT25             4          4867        133023       1209600             0             0             0             0
     TASK109         SAT25             4          7905        186228       1209600             0             0             0             0
     TASK110         SAT25             4          7615        208042       1209600             0             0             0             0
     TASK111         SAT30             4          6118        147114       1209600             0             0             0             0
     TASK112         SAT30             4          5745         59673       1209600             0             0             0             0
     TASK113         SAT30             4          4279        224480       1209600             0             0             0             0
     TASK114         SAT30             4          6876         60546       1209600             0             0             0             0
     TASK115         SAT26             4          5340         21189       1209600             0             0             0             0
     TASK116         SAT26             4          7502        217077       1209600             0             0             0             0
     TASK117         SAT26             4          3630         86113       1209600             0             0             0             0
     TASK118         SAT26             4          4329         93436       1209600             0             0             0             0
     TASK119         SAT32             4          5513        204619       1209600             0             0             0             0
     TASK120         SAT32             4          6268         76965       1209600             0             0             0             0
     TASK121         SAT32             4          7059         68328       1209600             0             0             0             0
     TASK122         SAT35             4          7544         28318       1209600             0             0             0             0
     TASK123         SAT35             4          7767        223466       1209600             0             0             0             0
     TASK124         SAT35             4          7147        248439       1209600             0             0             0             0
     TASK125         SAT35             4          3964        247718       1209600             0             0             0             0
     TASK126         SAT31             4          5958         62008       1209600             0             0             0             0
     TASK127         SAT31             4          7983        223166       1209600             0             0             0             0
     TASK128         SAT31             4          6779        163589       1209600             0             0             0             0
     TASK129         SAT31             4          5844         28100       1209600             0             0             0             0
     TASK130         SAT46             4          5650        128045       1209600             0             0             0             0
     TASK131         SAT46             4          6830        204267       1209600             0             0             0             0
     TASK132         SAT46             4          6048        147199       1209600             0             0             0             0
     TASK133         SAT46             4          7662        235843       1209600             0             0             0             0
     TASK134         SAT45             4          4891        254349       1209600             0             0             0             0
     TASK135         SAT45             4          6100        177218       1209600             0             0             0             0
     TASK136         SAT45             4          7544        116811       1209600             0             0             0             0
     TASK137         SAT45             4          5973         93127       1209600             0             0             0             0
     TASK138         SAT47             4          6435         67043       1209600             0             0             0             0
     TASK139         SAT47             4          6407        189189       1209600             0             0             0             0
     TASK140         SAT47             4          3868        237628       1209600             0             0             0             0
