Satellite list
SAT14	SAT15	SAT01	SAT19	SAT20	SAT21	SAT18	SAT07	SAT13	SAT15	SAT22	SAT06	SAT03	SAT10	SAT04	SAT16	SAT12	SAT05	SAT23	SAT08	SAT02	SAT17	SAT09	SAT11	SAT27	SAT37	SAT26	SAT29	SAT24	SAT43	SAT31	SAT38	SAT41	SAT25	SAT35	SAT40	SAT47	SAT46	SAT30	SAT34	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT14             4          5330         26574       1209600             0             0             0             0
       TASK1         SAT14             4          4984         80877       1209600             0             0             0             0
       TASK2         SAT14             4          7321        133509       1209600             0             0             0             0
       TASK3         SAT14             4          5513         79269       1209600             0             0             0             0
       TASK4         SAT15             4          7773          6668       1209600             0             0             0             0
       TASK5         SAT15             4          5048         76382       1209600             0             0             0             0
       TASK6         SAT15             4          5657         81534       1209600             0             0             0             0
       TASK7         SAT15             4          6429        185039       1209600             0             0             0             0
       TASK8         SAT01             4          4718        198888       1209600             0             0             0             0
       TASK9         SAT01             4          6521         31646       1209600             0             0             0             0
      TASK10         SAT01             4          5259        118233       1209600             0             0             0             0
      TASK11         SAT01             4          5612        137301       1209600             0             0             0             0
      TASK12         SAT19             4          6708         42622       1209600             0             0             0             0
      TASK13         SAT19             4          5743        174408       1209600             0             0             0             0
      TASK14         SAT19             4          4860          3392       1209600             0             0             0             0
      TASK15         SAT19             4          4523        222301       1209600             0             0             0             0
      TASK16         SAT20             4          5242        199283       1209600             0             0             0             0
      TASK17         SAT20             4          5851         92212       1209600             0             0             0             0
      TASK18         SAT20             4          4038          9053       1209600             0             0             0             0
      TASK19         SAT20             4          3897         29914       1209600             0             0             0             0
      TASK20         SAT21             4          5837        108062       1209600             0             0             0             0
      TASK21         SAT21             4          5944         46733       1209600             0             0             0             0
      TASK22         SAT21             4          7794        236460       1209600             0             0             0             0
      TASK23         SAT21             4          4251         18906       1209600             0             0             0             0
      TASK24         SAT18             4          6505         97062       1209600             0             0             0             0
      TASK25         SAT18             4          7361         52140       1209600             0             0             0             0
      TASK26         SAT18             4          7646        185344       1209600             0             0             0             0
      TASK27         SAT18             4          4112        206182       1209600             0             0             0             0
      TASK28         SAT07             4          6993        137398       1209600             0             0             0             0
      TASK29         SAT07             4          3859          7613       1209600             0             0             0             0
      TASK30         SAT07             4          4518         50279       1209600             0             0             0             0
      TASK31         SAT07             4          5440         59492       1209600             0             0             0             0
      TASK32         SAT13             4          4253        248896       1209600             0             0             0             0
      TASK33         SAT13             4          5544        176738       1209600             0             0             0             0
      TASK34         SAT13             4          6801        255993       1209600             0             0             0             0
      TASK35         SAT13             4          7354        100267       1209600             0             0             0             0
      TASK36         SAT22             4          5024        225366       1209600             0             0             0             0
      TASK37         SAT22             4          6416        184937       1209600             0             0             0             0
      TASK38         SAT22             4          3898        192138       1209600             0             0             0             0
      TASK39         SAT06             4          6051        171065       1209600             0             0             0             0
      TASK40         SAT06             4          4156         67950       1209600             0             0             0             0
      TASK41         SAT06             4          5502         24927       1209600             0             0             0             0
      TASK42         SAT06             4          6886         28330       1209600             0             0             0             0
      TASK43         SAT03             4          7080        254938       1209600             0             0             0             0
      TASK44         SAT03             4          6409         62572       1209600             0             0             0             0
      TASK45         SAT03             4          6236        167423       1209600             0             0             0             0
      TASK46         SAT03             4          6201        243349       1209600             0             0             0             0
      TASK47         SAT10             4          5400        204773       1209600             0             0             0             0
      TASK48         SAT10             4          7195        124254       1209600             0             0             0             0
      TASK49         SAT10             4          4886         42062       1209600             0             0             0             0
      TASK50         SAT10             4          4460        192466       1209600             0             0             0             0
      TASK51         SAT04             4          4170        182428       1209600             0             0             0             0
      TASK52         SAT04             4          6358        139191       1209600             0             0             0             0
      TASK53         SAT04             4          7547         54712       1209600             0             0             0             0
      TASK54         SAT04             4          6712         54421       1209600             0             0             0             0
      TASK55         SAT16             4          7192          7379       1209600             0             0             0             0
      TASK56         SAT16             4          6699         19625       1209600             0             0             0             0
      TASK57         SAT16             4          5385        148191       1209600             0             0             0             0
      TASK58         SAT16             4          4281        251503       1209600             0             0             0             0
      TASK59         SAT12             4          4320         22810       1209600             0             0             0             0
      TASK60         SAT12             4          4191        221164       1209600             0             0             0             0
      TASK61         SAT12             4          7200        111020       1209600             0             0             0             0
      TASK62         SAT12             4          5267        207851       1209600             0             0             0             0
      TASK63         SAT05             4          5392         71696       1209600             0             0             0             0
      TASK64         SAT05             4          7114         35510       1209600             0             0             0             0
      TASK65         SAT05             4          7234          5638       1209600             0             0             0             0
      TASK66         SAT05             4          4549         56317       1209600             0             0             0             0
      TASK67         SAT23             4          6869         65716       1209600             0             0             0             0
      TASK68         SAT23             4          5231        169298       1209600             0             0             0             0
      TASK69         SAT23             4          4836         81684       1209600             0             0             0             0
      TASK70         SAT23             4          5512         38190       1209600             0             0             0             0
      TASK71         SAT08             4          6896        129628       1209600             0             0             0             0
