-->Statistics<--
  status   : OPTIMAL
  conflicts: 440
  branches : 9021
  wall time: 12.332868676 s
Optimal score : 15375.0

TASK0:  
SAT1_ANT2_OCC1      [0,28200]      
SAT1_ANT2_OCC3      [28200,56400]  
SAT1_ANT2_OCC6      [56400,84600]  
SAT1_ANT2_OCC7      [84600,112800] 
SAT1_ANT2_OCC9      [112800,141000]
SAT1_ANT2_OCC15     [141000,169200]
SAT1_ANT2_OCC22     [169200,197400]
SAT1_ANT2_OCC24     [197400,225600]
SAT1_ANT2_OCC25     [225600,253800]
SAT1_ANT2_OCC26     [253800,282000]
SAT1_ANT2_OCC28     [282000,310200]
SAT1_ANT2_OCC29     [310200,338400]
SAT1_ANT2_OCC30     [338400,366600]
SAT1_ANT2_OCC31     [366600,394800]
SAT1_ANT2_OCC33     [394800,423000]
SAT1_ANT2_OCC35     [423000,451200]
SAT1_ANT2_OCC37     [451200,479400]
SAT1_ANT2_OCC40     [479400,507600]
SAT1_ANT3_OCC0      [507600,535800]
SAT1_ANT3_OCC2      [535800,564000]
SAT1_ANT3_OCC4      [564000,592200]
SAT1_ANT3_OCC5      [592200,620400]
SAT1_ANT3_OCC8      [620400,648600]
SAT1_ANT3_OCC10     [648600,676800]
SAT1_ANT3_OCC11     [676800,705000]
SAT1_ANT3_OCC12     [705000,733200]
SAT1_ANT3_OCC13     [733200,761400]
SAT1_ANT3_OCC14     [761400,789600]
SAT1_ANT3_OCC16     [789600,817800]
SAT1_ANT3_OCC17     [817800,846000]
SAT1_ANT3_OCC18     [846000,874200]
SAT1_ANT3_OCC19     [874200,902400]
SAT1_ANT3_OCC20     [902400,930600]
SAT1_ANT3_OCC21     [930600,958800]
SAT1_ANT3_OCC23     [958800,987000]
SAT1_ANT3_OCC27     [987000,1015200]
SAT1_ANT3_OCC32     [1015200,1043400]
SAT1_ANT3_OCC34     [1043400,1071600]
SAT1_ANT3_OCC36     [1071600,1099800]
SAT1_ANT3_OCC38     [1099800,1128000]
SAT1_ANT3_OCC39     [1128000,1156200]

TASK1:  
SAT2_ANT2_OCC0      [507600,535800]
SAT2_ANT2_OCC6      [535800,564000]
SAT2_ANT2_OCC8      [564000,592200]
SAT2_ANT2_OCC9      [592200,620400]
SAT2_ANT2_OCC10     [620400,648600]
SAT2_ANT2_OCC11     [648600,676800]
SAT2_ANT2_OCC12     [676800,705000]
SAT2_ANT2_OCC14     [705000,733200]
SAT2_ANT2_OCC15     [733200,761400]
SAT2_ANT2_OCC16     [761400,789600]
SAT2_ANT2_OCC17     [789600,817800]
SAT2_ANT2_OCC18     [817800,846000]
SAT2_ANT2_OCC19     [846000,874200]
SAT2_ANT2_OCC20     [874200,902400]
SAT2_ANT2_OCC21     [902400,930600]
SAT2_ANT2_OCC24     [930600,958800]
SAT2_ANT2_OCC29     [958800,987000]
SAT2_ANT2_OCC30     [987000,1015200]
SAT2_ANT2_OCC31     [1015200,1043400]
SAT2_ANT2_OCC32     [1043400,1071600]
SAT2_ANT2_OCC34     [1071600,1099800]
SAT2_ANT2_OCC35     [1099800,1128000]
SAT2_ANT2_OCC39     [1128000,1156200]
SAT2_ANT3_OCC1      [0,28200]      
SAT2_ANT3_OCC2      [28200,56400]  
SAT2_ANT3_OCC3      [56400,84600]  
SAT2_ANT3_OCC4      [84600,112800] 
SAT2_ANT3_OCC5      [112800,141000]
SAT2_ANT3_OCC7      [141000,169200]
SAT2_ANT3_OCC13     [169200,197400]
SAT2_ANT3_OCC22     [197400,225600]
SAT2_ANT3_OCC23     [225600,253800]
SAT2_ANT3_OCC25     [253800,282000]
SAT2_ANT3_OCC26     [282000,310200]
SAT2_ANT3_OCC27     [310200,338400]
SAT2_ANT3_OCC28     [338400,366600]
SAT2_ANT3_OCC33     [366600,394800]
SAT2_ANT3_OCC36     [394800,423000]
SAT2_ANT3_OCC37     [423000,451200]
SAT2_ANT3_OCC38     [451200,479400]
SAT2_ANT3_OCC40     [479400,507600]

TASK2:  
SAT3_ANT1_OCC0      [0,28200]      
SAT3_ANT1_OCC1      [28200,56400]  
SAT3_ANT1_OCC2      [56400,84600]  
SAT3_ANT1_OCC3      [84600,112800] 
SAT3_ANT1_OCC4      [112800,141000]
SAT3_ANT1_OCC5      [141000,169200]
SAT3_ANT1_OCC6      [169200,197400]
SAT3_ANT1_OCC7      [197400,225600]
SAT3_ANT1_OCC8      [225600,253800]
SAT3_ANT1_OCC9      [253800,282000]
SAT3_ANT1_OCC10     [282000,310200]
SAT3_ANT1_OCC11     [310200,338400]
SAT3_ANT1_OCC12     [338400,366600]
SAT3_ANT1_OCC13     [366600,394800]
SAT3_ANT1_OCC14     [394800,423000]
SAT3_ANT1_OCC15     [423000,451200]
SAT3_ANT1_OCC16     [451200,479400]
SAT3_ANT1_OCC17     [479400,507600]
SAT3_ANT1_OCC18     [507600,535800]
SAT3_ANT1_OCC19     [535800,564000]
SAT3_ANT1_OCC20     [564000,592200]
SAT3_ANT1_OCC21     [592200,620400]
SAT3_ANT1_OCC22     [620400,648600]
SAT3_ANT1_OCC23     [648600,676800]
