Satellite list
SAT18	SAT04	SAT08	SAT10	SAT02	SAT07	SAT03	SAT05	SAT22	SAT01	SAT15	SAT12	SAT14	SAT17	SAT11	SAT15	SAT09	SAT20	SAT19	SAT16	SAT21	SAT06	SAT23	SAT13	SAT39	SAT46	SAT31	SAT25	SAT40	SAT37	SAT41	SAT32	SAT38	SAT35	SAT34	SAT24	SAT33	SAT27	SAT43	SAT28	SAT42	SAT26	SAT44	SAT47	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT04             4          4525        172422       1209600             0             0             0             0
       TASK1         SAT10             4          4134        182398       1209600             0             0             0             0
       TASK2         SAT02             4          6019         84404       1209600             0             0             0             0
       TASK3         SAT07             4          4635         24638       1209600             0             0             0             0
       TASK4         SAT03             4          4402        183929       1209600             0             0             0             0
       TASK5         SAT05             4          6044        197550       1209600             0             0             0             0
       TASK6         SAT22             4          4597        240408       1209600             0             0             0             0
       TASK7         SAT15             4          4130        119945       1209600             0             0             0             0
       TASK8         SAT12             4          6893         75444       1209600             0             0             0             0
       TASK9         SAT14             4          7816        172357       1209600             0             0             0             0
      TASK10         SAT17             4          7667        180633       1209600             0             0             0             0
      TASK11         SAT11             4          6909        119587       1209600             0             0             0             0
      TASK12         SAT09             4          4705         70903       1209600             0             0             0             0
      TASK13         SAT20             4          7520        113712       1209600             0             0             0             0
      TASK14         SAT19             4          4950        231050       1209600             0             0             0             0
      TASK15         SAT21             4          5577         34789       1209600             0             0             0             0
      TASK16         SAT06             4          3682         95595       1209600             0             0             0             0
      TASK17         SAT13             4          7527        129677       1209600             0             0             0             0
      TASK18         SAT39             4          4451        125570       1209600             0             0             0             0
      TASK19         SAT31             4          4241         85023       1209600             0             0             0             0
      TASK20         SAT25             4          4249         60068       1209600             0             0             0             0
      TASK21         SAT40             4          7807         10424       1209600             0             0             0             0
      TASK22         SAT37             4          7236        109858       1209600             0             0             0             0
      TASK23         SAT34             4          4686         95968       1209600             0             0             0             0
      TASK24         SAT33             4          3751        239835       1209600             0             0             0             0
      TASK25         SAT33             4          7340         78740       1209600             0             0             0             0
      TASK26         SAT27             4          7970        138820       1209600             0             0             0             0
      TASK27         SAT27             4          5141        194224       1209600             0             0             0             0
      TASK28         SAT28             4          5600        113677       1209600             0             0             0             0
      TASK29         SAT28             4          6474         55987       1209600             0             0             0             0
      TASK30         SAT42             4          5900         98710       1209600             0             0             0             0
      TASK31         SAT42             4          7966        171478       1209600             0             0             0             0
      TASK32         SAT26             4          6698        142618       1209600             0             0             0             0
      TASK33         SAT26             4          5637        119688       1209600             0             0             0             0
      TASK34         SAT44             4          5264        188536       1209600             0             0             0             0
      TASK35         SAT44             4          7061        166897       1209600             0             0             0             0
      TASK36         SAT18             8          2195             0       1207405             1            -1         25200         43200
