Satellite list
SAT33	SAT14	SAT19	SAT02	SAT45	SAT06	SAT12	SAT27	SAT34	SAT16	SAT04	SAT35	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK249         SAT33             8          1842             0       1207758             1            -1         25200         43200
     TASK150         SAT14             8          1954             0       1207646             1            -1         25200         43200
     TASK162         SAT19             8          1857             0       1207743             1            -1         25200         43200
     TASK226         SAT02             8          2100             0       1207500             1            -1         25200         43200
     TASK326         SAT45             8          1943             0       1207657             1            -1         25200         43200
     TASK190         SAT06             8          1858             0       1207742             1            -1         25200         43200
     TASK210         SAT12             8          2104             0       1207496             1            -1         25200         43200
     TASK347         SAT27             8          2223             0       1207377             1            -1         25200         43200
     TASK270         SAT34             8          2041             0       1207559             1            -1         25200         43200
     TASK206         SAT16             8          2238             0       1207362             1            -1         25200         43200
     TASK202         SAT04             8          2148             0       1207452             1            -1         25200         43200
     TASK305         SAT35             8          1809             0       1207791             1            -1         25200         43200
