Satellite list
SAT27	SAT37	SAT04	SAT18	SAT30	SAT10	SAT20	SAT32	SAT12	SAT46	SAT13	SAT35	SAT47	SAT29	SAT23	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK347         SAT27             8          2223             0       1207377             1            -1         25200         43200
     TASK263         SAT37             8          1946             0       1207654             1            -1         25200         43200
     TASK202         SAT04             8          2148             0       1207452             1            -1         25200         43200
     TASK174         SAT18             8          1824             0       1207776             1            -1         25200         43200
     TASK284         SAT30             8          2033             0       1207567             1            -1         25200         43200
     TASK198         SAT10             8          1988             0       1207612             1            -1         25200         43200
     TASK166         SAT20             8          2058             0       1207542             1            -1         25200         43200
     TASK298         SAT32             8          2037             0       1207563             1            -1         25200         43200
     TASK210         SAT12             8          2104             0       1207496             1            -1         25200         43200
     TASK319         SAT46             8          1890             0       1207710             1            -1         25200         43200
     TASK182         SAT13             8          2124             0       1207476             1            -1         25200         43200
     TASK305         SAT35             8          1809             0       1207791             1            -1         25200         43200
     TASK333         SAT47             8          2008             0       1207592             1            -1         25200         43200
     TASK340         SAT29             8          2368             0       1207232             1            -1         25200         43200
     TASK218         SAT23             8          2219             0       1207381             1            -1         25200         43200
