Satellite list
SAT14	SAT15	SAT01	SAT19	SAT20	SAT21	SAT18	SAT07	SAT13	SAT22	SAT06	SAT03	SAT10	SAT04	SAT16	SAT12	SAT05	SAT23	SAT08	SAT02	SAT17	SAT09	SAT11	SAT24	SAT33	SAT41	SAT37	SAT34	SAT25	SAT30	SAT26	SAT32	SAT35	SAT31	SAT46	SAT45	SAT47	SAT29	SAT27	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
     TASK150         SAT14             8          1954             0       1207646             1            -1         25200         43200
     TASK154         SAT15             8          2197             0       1207403             1            -1         25200         43200
     TASK158         SAT01             8          1855             0       1207745             1            -1         25200         43200
     TASK162         SAT19             8          1857             0       1207743             1            -1         25200         43200
     TASK166         SAT20             8          2058             0       1207542             1            -1         25200         43200
     TASK170         SAT21             8          2065             0       1207535             1            -1         25200         43200
     TASK174         SAT18             8          1824             0       1207776             1            -1         25200         43200
     TASK178         SAT07             8          2108             0       1207492             1            -1         25200         43200
     TASK182         SAT13             8          2124             0       1207476             1            -1         25200         43200
     TASK186         SAT22             8          2392             0       1207208             1            -1         25200         43200
     TASK190         SAT06             8          1858             0       1207742             1            -1         25200         43200
     TASK194         SAT03             8          2053             0       1207547             1            -1         25200         43200
     TASK198         SAT10             8          1988             0       1207612             1            -1         25200         43200
     TASK202         SAT04             8          2148             0       1207452             1            -1         25200         43200
     TASK206         SAT16             8          2238             0       1207362             1            -1         25200         43200
     TASK210         SAT12             8          2104             0       1207496             1            -1         25200         43200
     TASK214         SAT05             8          2123             0       1207477             1            -1         25200         43200
     TASK218         SAT23             8          2219             0       1207381             1            -1         25200         43200
     TASK222         SAT08             8          2133             0       1207467             1            -1         25200         43200
     TASK226         SAT02             8          2100             0       1207500             1            -1         25200         43200
     TASK230         SAT17             8          2016             0       1207584             1            -1         25200         43200
     TASK234         SAT09             8          2047             0       1207553             1            -1         25200         43200
     TASK238         SAT11             8          2351             0       1207249             1            -1         25200         43200
     TASK242         SAT24             8          2063             0       1207537             1            -1         25200         43200
     TASK249         SAT33             8          1842             0       1207758             1            -1         25200         43200
     TASK256         SAT41             8          1817             0       1207783             1            -1         25200         43200
     TASK263         SAT37             8          1946             0       1207654             1            -1         25200         43200
     TASK270         SAT34             8          2041             0       1207559             1            -1         25200         43200
     TASK277         SAT25             8          2008             0       1207592             1            -1         25200         43200
     TASK284         SAT30             8          2033             0       1207567             1            -1         25200         43200
     TASK291         SAT26             8          1834             0       1207766             1            -1         25200         43200
     TASK298         SAT32             8          2037             0       1207563             1            -1         25200         43200
     TASK305         SAT35             8          1809             0       1207791             1            -1         25200         43200
     TASK312         SAT31             8          1939             0       1207661             1            -1         25200         43200
     TASK319         SAT46             8          1890             0       1207710             1            -1         25200         43200
     TASK326         SAT45             8          1943             0       1207657             1            -1         25200         43200
     TASK333         SAT47             8          2008             0       1207592             1            -1         25200         43200
     TASK340         SAT29             8          2368             0       1207232             1            -1         25200         43200
     TASK347         SAT27             8          2223             0       1207377             1            -1         25200         43200
