Satellite list
SAT01	SAT02	SAT18	SAT13	SAT23	SAT15	SAT12	SAT03	SAT06	SAT31	SAT42	SAT44	
 Task number     Satellite      Priority      Duration      Earliest        Latest    Repetitive    Number occ  Min time lag  Max time lag
       TASK0         SAT01             8          2185             0       1207415             1            -1         25200         43200
       TASK4         SAT02             8          1894             0       1207706             1            -1         25200         43200
       TASK8         SAT18             8          2286             0       1207314             1            -1         25200         43200
      TASK12         SAT13             8          1852             0       1207748             1            -1         25200         43200
      TASK16         SAT23             8          2306             0       1207294             1            -1         25200         43200
      TASK20         SAT15             8          1993             0       1207607             1            -1         25200         43200
      TASK24         SAT12             8          1832             0       1207768             1            -1         25200         43200
      TASK28         SAT03             8          1929             0       1207671             1            -1         25200         43200
      TASK32         SAT06             8          2155             0       1207445             1            -1         25200         43200
      TASK36         SAT04             8          1917             0       1207683             1            -1         25200         43200
     TASK277         SAT31             8          2178             0       1207422             1            -1         25200         43200
     TASK284         SAT42             8          1933             0       1207667             1            -1         25200         43200
     TASK291         SAT44             8          1930             0       1207670             1            -1         25200         43200
