         Sat           Ant         Start           End
       SAT01          ANT7             0          8994
       SAT01          ANT9             0          8994
       SAT01          ANT7        907200        916194
       SAT01          ANT9        907200        916194
       SAT01          ANT7         21266         48919
       SAT01          ANT9         21266         48919
       SAT01          ANT7        928466        956119
       SAT01          ANT9        928466        956119
       SAT01          ANT7        127519        166841
       SAT01          ANT9        127519        166841
       SAT01          ANT7       1034719       1074041
       SAT01          ANT9       1034719       1074041
       SAT01          ANT7        246675        268290
       SAT01          ANT9        246675        268290
       SAT01          ANT7       1153875       1175490
       SAT01          ANT9       1153875       1175490
       SAT01          ANT7        275180        298826
       SAT01          ANT9        275180        298826
       SAT01          ANT7       1182380       1206026
       SAT01          ANT9       1182380       1206026
       SAT01          ANT7        378350        418201
       SAT01          ANT9        378350        418201
       SAT01          ANT7        497226        523387
       SAT01          ANT9        497226        523387
       SAT01          ANT7        533041        549665
       SAT01          ANT9        533041        549665
       SAT01          ANT7        630279        667000
       SAT01          ANT9        630279        667000
       SAT01          ANT7        743207        776249
       SAT01          ANT9        743207        776249
       SAT01          ANT7        857571        870663
       SAT01          ANT9        857571        870663
       SAT01          ANT7        882845        907200
       SAT01          ANT9        882845        907200
       SAT01          ANT5         75960        115410
       SAT01         ANT10         75960        115410
       SAT01          ANT5        983160       1022610
       SAT01         ANT10        983160       1022610
       SAT01          ANT5        195526        217987
       SAT01         ANT10        195526        217987
       SAT01          ANT5       1102726       1125187
       SAT01         ANT10       1102726       1125187
       SAT01          ANT5        225999        246991
       SAT01         ANT10        225999        246991
       SAT01          ANT5       1133199       1154191
       SAT01         ANT10       1133199       1154191
       SAT01          ANT5        327350        366425
       SAT01         ANT10        327350        366425
       SAT01          ANT5        445823        472204
       SAT01         ANT10        445823        472204
       SAT01          ANT5        484433        497536
       SAT01         ANT10        484433        497536
       SAT01          ANT5        560230        561210
       SAT01         ANT10        560230        561210
       SAT01          ANT5        579579        613890
       SAT01         ANT10        579579        613890
       SAT01          ANT5        688406        724942
       SAT01         ANT10        688406        724942
       SAT01          ANT5        806292        822100
       SAT01         ANT10        806292        822100
       SAT01          ANT5        832590        857893
       SAT01         ANT10        832590        857893
       SAT01          ANT5        858805        859582
       SAT01         ANT10        858805        859582
       SAT01          ANT1         45084         86702
       SAT01          ANT2         45084         86702
       SAT01          ANT1        952284        993902
       SAT01          ANT2        952284        993902
       SAT01          ANT1        166746        196577
       SAT01          ANT2        166746        196577
       SAT01          ANT1       1073946       1103777
       SAT01          ANT2       1073946       1103777
       SAT01          ANT1        278094        290112
       SAT01          ANT2        278094        290112
       SAT01          ANT1       1185294       1197312
       SAT01          ANT2       1185294       1197312
       SAT01          ANT1        295125        324608
       SAT01          ANT2        295125        324608
       SAT01          ANT1       1202325       1209600
       SAT01          ANT2       1202325       1209600
       SAT01          ANT1        404555        447818
       SAT01          ANT2        404555        447818
       SAT01          ANT1        527914        575347
       SAT01          ANT2        527914        575347
       SAT01          ANT1        655250        699040
       SAT01          ANT2        655250        699040
       SAT01          ANT1        778901        826113
       SAT01          ANT2        778901        826113
       SAT01          ANT1        906645        907200
       SAT01          ANT2        906645        907200
       SAT01          ANT3         57726         86094
       SAT01         ANT11         57726         86094
       SAT01          ANT3        964926        993294
       SAT01         ANT11        964926        993294
       SAT01          ANT3        109948        123028
       SAT01         ANT11        109948        123028
       SAT01          ANT3       1017148       1030228
       SAT01         ANT11       1017148       1030228
       SAT01          ANT3        166628        184122
       SAT01         ANT11        166628        184122
       SAT01          ANT3       1073828       1091322
       SAT01         ANT11       1073828       1091322
       SAT01          ANT3        205294        230289
       SAT01         ANT11        205294        230289
       SAT01          ANT3       1112494       1137489
       SAT01         ANT11       1112494       1137489
       SAT01          ANT3        272213        275203
       SAT01         ANT11        272213        275203
       SAT01          ANT3       1179413       1182403
       SAT01         ANT11       1179413       1182403
       SAT01          ANT3        308591        338840
       SAT01         ANT11        308591        338840
       SAT01          ANT3        366786        375166
       SAT01         ANT11        366786        375166
       SAT01          ANT3        418125        439558
       SAT01         ANT11        418125        439558
       SAT01          ANT3        459847        481129
       SAT01         ANT11        459847        481129
       SAT01          ANT3        524125        532702
       SAT01         ANT11        524125        532702
       SAT01          ANT3        560458        590668
       SAT01         ANT11        560458        590668
       SAT01          ANT3        624344        627031
       SAT01         ANT11        624344        627031
       SAT01          ANT3        668935        694073
       SAT01         ANT11        668935        694073
       SAT01          ANT3        715317        732648
       SAT01         ANT11        715317        732648
       SAT01          ANT3        776260        789518
       SAT01         ANT11        776260        789518
       SAT01          ANT3        813238        841497
       SAT01         ANT11        813238        841497
       SAT01          ANT6             0         15923
       SAT01          ANT8             0         15923
       SAT01          ANT6        907200        923123
       SAT01          ANT8        907200        923123
       SAT01          ANT6         26988         43923
       SAT01          ANT8         26988         43923
       SAT01          ANT6        934188        951123
       SAT01          ANT8        934188        951123
       SAT01          ANT6        123753        159838
       SAT01          ANT8        123753        159838
       SAT01          ANT6       1030953       1067038
       SAT01          ANT8       1030953       1067038
       SAT01          ANT6        233954        268916
       SAT01          ANT8        233954        268916
       SAT01          ANT6       1141154       1176116
       SAT01          ANT8       1141154       1176116
       SAT01          ANT6        287816        293630
       SAT01          ANT8        287816        293630
       SAT01          ANT6       1195016       1200830
       SAT01          ANT8       1195016       1200830
       SAT01          ANT6        350180        364633
       SAT01          ANT8        350180        364633
       SAT01          ANT6        376594        404847
       SAT01          ANT8        376594        404847
       SAT01          ANT6        482073        521128
       SAT01          ANT8        482073        521128
       SAT01          ANT6        600937        622694
       SAT01          ANT8        600937        622694
       SAT01          ANT6        631019        654584
       SAT01          ANT8        631019        654584
       SAT01          ANT6        733214        772461
       SAT01          ANT8        733214        772461
       SAT01          ANT6        851382        877509
       SAT01          ANT8        851382        877509
       SAT01          ANT6        888636        905478
       SAT01          ANT8        888636        905478
       SAT01          ANT4         11917         24656
